S1_std,S1_val,P_choose1,N_trials
0.3698622388594648,-2.3161000000000005,0.0125,80
0.3698622388594648,-2.0661000000000005,0.075,80
0.3698622388594648,-1.8161000000000005,0.1,80
0.3698622388594648,-1.5661000000000005,0.1375,80
0.3698622388594648,-1.3161000000000005,0.1875,80
0.3698622388594648,-1.0661000000000005,0.375,80
0.3698622388594648,-0.8161000000000005,0.5625,80
0.3698622388594648,-0.5661000000000005,0.5875,80
0.3698622388594648,-0.3161000000000005,0.7375,80
0.3698622388594648,-0.0661000000000004,0.8375,80
0.3698622388594648,0.1838999999999995,0.9375,80
0.3698622388594648,0.4338999999999995,0.9875,80
0.3698622388594648,0.6838999999999995,0.975,80
0.3698622388594648,0.9338999999999996,0.9625,80
0.3698622388594648,1.1838999999999995,1.0,80
0.3698622388594648,1.4338999999999995,1.0,80
0.3698622388594648,1.6838999999999995,1.0,80
0.3698622388594648,1.9338999999999995,1.0,80
0.3698622388594648,2.1838999999999995,1.0,80
0.3698622388594648,2.4338999999999995,1.0,80
0.3698622388594648,2.6838999999999995,1.0,80
0.3698622388594648,2.9338999999999995,1.0,80
0.3698622388594648,3.1838999999999995,1.0,80
0.4313129460237733,-4.8161000000000005,0.0,80
0.4313129460237733,-4.5661000000000005,0.0,80
0.4313129460237733,-4.3161000000000005,0.0,80
0.4313129460237733,-4.0661000000000005,0.0,80
0.4313129460237733,-3.816100000000001,0.0,80
0.4313129460237733,-3.5661000000000005,0.0,80
0.4313129460237733,-3.3161000000000005,0.0,80
0.4313129460237733,-3.0661000000000005,0.0,80
0.4313129460237733,-2.8161000000000005,0.0125,80
0.4313129460237733,-2.5661000000000005,0.0,80
0.4313129460237733,-2.3161000000000005,0.025,80
0.4313129460237733,-2.0661000000000005,0.0375,80
0.4313129460237733,-1.8161000000000005,0.0375,80
0.4313129460237733,-1.5661000000000005,0.1625,80
0.4313129460237733,-1.3161000000000005,0.225,80
0.4313129460237733,-1.0661000000000005,0.4625,80
0.4313129460237733,-0.8161000000000005,0.4375,80
0.4313129460237733,-0.5661000000000005,0.6625,80
0.4313129460237733,-0.3161000000000005,0.675,80
0.4313129460237733,-0.0661000000000004,0.875,80
0.4313129460237733,0.1838999999999995,0.9,80
0.4313129460237733,0.4338999999999995,0.9125,80
0.4313129460237733,0.6838999999999995,0.9625,80
0.4313129460237733,0.9338999999999996,0.9875,80
0.4313129460237733,1.1838999999999995,1.0,80
0.4313129460237733,1.4338999999999995,1.0,80
0.4313129460237733,1.6838999999999995,1.0,80
0.4313129460237733,1.9338999999999995,1.0,80
0.4313129460237733,2.1838999999999995,1.0,80
0.4313129460237733,2.4338999999999995,1.0,80
0.4313129460237733,2.6838999999999995,1.0,80
0.4313129460237733,2.9338999999999995,1.0,80
0.4313129460237733,3.1838999999999995,1.0,80
0.5029733718731743,-4.8161000000000005,0.0,80
0.5029733718731743,-4.5661000000000005,0.0,80
0.5029733718731743,-4.3161000000000005,0.0,80
0.5029733718731743,-4.0661000000000005,0.0,80
0.5029733718731743,-3.816100000000001,0.0,80
0.5029733718731743,-3.5661000000000005,0.0,80
0.5029733718731743,-3.3161000000000005,0.0,80
0.5029733718731743,-3.0661000000000005,0.0,80
0.5029733718731743,-2.8161000000000005,0.0,80
