S1_std,S2_std,S2_val,S1_val,P_choose1,N_trials
0.3,8,0,1.4000000000000048,0.9512,2500
0.3,8,0,1.5000000000000049,0.9488,2500
0.3,8,0,1.600000000000005,0.9644,2500
0.3,8,0,1.700000000000005,0.9668,2500
0.3,8,0,1.8000000000000052,0.9656,2500
0.3,8,0,1.9000000000000052,0.9708,2500
0.3,8,0,2.0000000000000053,0.9852,2500
0.3,8,0,2.1000000000000054,0.9776,2500
0.3,8,0,2.2000000000000055,0.988,2500
0.3,8,0,2.3000000000000056,0.9872,2500
0.3,8,0,2.4000000000000057,0.9896,2500
0.3,8,0,2.5000000000000058,0.9928,2500
0.3,8,0,2.600000000000006,0.994,2500
0.3,8,0,2.700000000000006,0.9944,2500
0.3,8,0,2.800000000000006,0.9968,2500
0.3,8,0,2.900000000000006,0.9956,2500
0.3,8,0,3.000000000000006,0.9968,2500
0.3,8,0,3.1000000000000063,0.998,2500
0.3,8,0,3.2000000000000064,0.9984,2500
0.3,8,0,3.3000000000000065,0.9984,2500
0.3,8,0,3.4000000000000066,1.0,2500
0.3,8,0,3.5000000000000067,1.0,2500
0.3,8,0,3.6000000000000068,0.9984,2500
0.3,8,0,3.700000000000007,0.9984,2500
0.3,8,0,3.800000000000007,0.9992,2500
0.3,8,0,3.900000000000007,0.9984,2500
0.3,8,0,4.000000000000007,1.0,2500
0.4,8,0,-4.0,0.0164,2500
0.4,8,0,-3.9,0.0164,2500
0.4,8,0,-3.8,0.0248,2500
0.4,8,0,-3.7,0.0192,2500
0.4,8,0,-3.5999999999999996,0.0336,2500
0.4,8,0,-3.4999999999999996,0.0368,2500
0.4,8,0,-3.3999999999999995,0.0484,2500
0.4,8,0,-3.2999999999999994,0.0456,2500
0.4,8,0,-3.1999999999999993,0.0572,2500
0.4,8,0,-3.099999999999999,0.0656,2500
0.4,8,0,-2.999999999999999,0.0772,2500
0.4,8,0,-2.899999999999999,0.0856,2500
0.4,8,0,-2.799999999999999,0.0872,2500
0.4,8,0,-2.699999999999999,0.104,2500
0.4,8,0,-2.5999999999999988,0.1096,2500
0.4,8,0,-2.4999999999999987,0.1296,2500
0.4,8,0,-2.3999999999999986,0.1408,2500
0.4,8,0,-2.2999999999999985,0.1632,2500
0.4,8,0,-2.1999999999999984,0.1708,2500
0.4,8,0,-2.0999999999999983,0.196,2500
0.4,8,0,-1.9999999999999984,0.2068,2500
0.4,8,0,-1.899999999999998,0.2248,2500
0.4,8,0,-1.799999999999998,0.246,2500
0.4,8,0,-1.699999999999998,0.2696,2500
0.4,8,0,-1.599999999999998,0.3048,2500
0.4,8,0,-1.4999999999999978,0.3256,2500
0.4,8,0,-1.3999999999999977,0.3444,2500
0.4,8,0,-1.2999999999999976,0.3812,2500
0.4,8,0,-1.1999999999999975,0.3956,2500
0.4,8,0,-1.0999999999999974,0.44,2500
0.4,8,0,-0.9999999999999972,0.472,2500
0.4,8,0,-0.8999999999999972,0.4704,2500
0.4,8,0,-0.7999999999999972,0.4816,2500
0.4,8,0,-0.6999999999999971,0.5444,2500
0.4,8,0,-0.599999999999997,0.564,2500
0.4,8,0,-0.4999999999999969,0.592,2500
0.4,8,0,-0.3999999999999968,0.61,2500
0.4,8,0,-0.2999999999999967,0.6276,2500
0.4,8,0,-0.1999999999999966,0.6556,2500
0.4,8,0,-0.0999999999999965,0.6732,2500
0.4,8,0,3.552713678800501e-15,0.7044,2500
0.4,8,0,0.1000000000000036,0.7404,2500
0.4,8,0,0.2000000000000037,0.7488,2500
0.4,8,0,0.3000000000000038,0.774,2500
0.4,8,0,0.4000000000000039,0.7908,2500
0.4,8,0,0.500000000000004,0.8308,2500
0.4,8,0,0.6000000000000041,0.8324,2500
0.4,8,0,0.7000000000000042,0.86,2500
0.4,8,0,0.8000000000000043,0.862,2500
0.4,8,0,0.9000000000000044,0.8904,2500
0.4,8,0,1.0000000000000044,0.8912,2500
0.4,8,0,1.1000000000000043,0.908,2500
0.4,8,0,1.2000000000000046,0.9196,2500
0.4,8,0,1.3000000000000047,0.932,2500
0.4,8,0,1.4000000000000048,0.9344,2500
0.4,8,0,1.5000000000000049,0.9416,2500
0.4,8,0,1.600000000000005,0.9544,2500
0.4,8,0,1.700000000000005,0.954,2500
0.4,8,0,1.8000000000000052,0.966,2500
0.4,8,0,1.9000000000000052,0.9696,2500
