S1_std,S2_std,S2_val,S1_val,P_choose1,N_trials
0.6,0.6,-0.8161,-1.5661,0.23333333333333334,60
0.6,0.6,-0.8161,-1.3161,0.2833333333333333,60
0.6,0.6,-0.8161,-1.0661,0.55,60
0.6,0.6,-0.8161,-0.8161,0.5,60
0.6,0.6,-0.8161,-0.5661,0.6,60
0.6,0.6,-0.8161,-0.3161,0.7166666666666667,60
0.6,0.6,-0.8161,-0.0661,0.7833333333333333,60
0.6,0.6,-0.8161,0.1838999999999999,0.8333333333333334,60
0.6,0.6,-0.8161,0.4338999999999999,0.9166666666666666,60
0.6,0.6,-0.8161,0.6839,0.85,60
0.6,0.6,-0.8161,0.9339,0.9166666666666666,60
0.6,0.6,-0.8161,1.1839,0.9833333333333333,60
0.6,0.6,-0.8161,1.4339,0.9833333333333333,60
0.6,0.6,-0.8161,1.6839,0.9833333333333333,60
0.6,0.6,-0.8161,1.9339,0.9833333333333333,60
0.6,0.6,-0.8161,2.1839,1.0,60
0.9,0.9,-0.8161,-3.8161,0.1,60
0.9,0.9,-0.8161,-3.5661,0.05,60
0.9,0.9,-0.8161,-3.3161,0.08333333333333333,60
0.9,0.9,-0.8161,-3.0661,0.21666666666666667,60
0.9,0.9,-0.8161,-2.8161,0.18333333333333332,60
0.9,0.9,-0.8161,-2.5661,0.11666666666666667,60
0.9,0.9,-0.8161,-2.3161,0.21666666666666667,60
0.9,0.9,-0.8161,-2.0661,0.23333333333333334,60
0.9,0.9,-0.8161,-1.8161,0.26666666666666666,60
0.9,0.9,-0.8161,-1.5661,0.31666666666666665,60
0.9,0.9,-0.8161,-1.3161,0.36666666666666664,60
0.9,0.9,-0.8161,-1.0661,0.5,60
0.9,0.9,-0.8161,-0.8161,0.55,60
0.9,0.9,-0.8161,-0.5661,0.5666666666666667,60
0.9,0.9,-0.8161,-0.3161,0.55,60
0.9,0.9,-0.8161,-0.0661,0.65,60
0.9,0.9,-0.8161,0.1838999999999999,0.8166666666666667,60
0.9,0.9,-0.8161,0.4338999999999999,0.8,60
0.9,0.9,-0.8161,0.6839,0.8166666666666667,60
0.9,0.9,-0.8161,0.9339,0.8166666666666667,60
0.9,0.9,-0.8161,1.1839,0.8833333333333333,60
0.9,0.9,-0.8161,1.4339,0.8333333333333334,60
0.9,0.9,-0.8161,1.6839,0.8833333333333333,60
0.9,0.9,-0.8161,1.9339,0.9,60
0.9,0.9,-0.8161,2.1839,0.9,60
1.3,1.3,-0.8161,-3.8161,0.11666666666666667,60
1.3,1.3,-0.8161,-3.5661,0.21666666666666667,60
1.3,1.3,-0.8161,-3.3161,0.3,60
1.3,1.3,-0.8161,-3.0661,0.23333333333333334,60
1.3,1.3,-0.8161,-2.8161,0.23333333333333334,60
1.3,1.3,-0.8161,-2.5661,0.25,60
1.3,1.3,-0.8161,-2.3161,0.2833333333333333,60
1.3,1.3,-0.8161,-2.0661,0.31666666666666665,60
1.3,1.3,-0.8161,-1.8161,0.38333333333333336,60
1.3,1.3,-0.8161,-1.5661,0.3333333333333333,60
1.3,1.3,-0.8161,-1.3161,0.48333333333333334,60
1.3,1.3,-0.8161,-1.0661,0.4666666666666667,60
1.3,1.3,-0.8161,-0.8161,0.55,60
1.3,1.3,-0.8161,-0.5661,0.5666666666666667,60
1.3,1.3,-0.8161,-0.3161,0.5833333333333334,60
1.3,1.3,-0.8161,-0.0661,0.5333333333333333,60
1.3,1.3,-0.8161,0.1838999999999999,0.5333333333333333,60
1.3,1.3,-0.8161,0.4338999999999999,0.5166666666666667,60
1.3,1.3,-0.8161,0.6839,0.6666666666666666,60
1.3,1.3,-0.8161,0.9339,0.7333333333333333,60
1.3,1.3,-0.8161,1.1839,0.8,60
1.3,1.3,-0.8161,1.4339,0.7666666666666667,60
1.3,1.3,-0.8161,1.6839,0.8,60
1.3,1.3,-0.8161,1.9339,0.75,60
1.3,1.3,-0.8161,2.1839,0.8666666666666667,60
1.8,1.8,-0.8161,-3.8161,0.25,60
1.8,1.8,-0.8161,-3.5661,0.26666666666666666,60
1.8,1.8,-0.8161,-3.3161,0.2,60
1.8,1.8,-0.8161,-3.0661,0.4,60
1.8,1.8,-0.8161,-2.8161,0.45,60
1.8,1.8,-0.8161,-2.5661,0.38333333333333336,60
1.8,1.8,-0.8161,-2.3161,0.35,60
1.8,1.8,-0.8161,-2.0661,0.36666666666666664,60
1.8,1.8,-0.8161,-1.8161,0.4,60
